"Name","Files","Folders","Logical Size","Physical Size","Attributes","Last Change","WinDirStat Attributes","Index"
"C:\Users\RT\ai-stack",8267,2046,191092872,205545560,"",2026-06-02T12:15:35Z,0x30000004,0x0000000000000000
"C:\Users\RT\ai-stack\.git",131,105,36437329,36543928,"H",2026-05-31T12:22:15Z,0x20000004,0x000A000000070B4A
"C:\Users\RT\ai-stack\.git\COMMIT_EDITMSG",0,0,29,32,"A",2026-05-31T01:13:42Z,0x20000008,0x000D00000001BD31
"C:\Users\RT\ai-stack\.git\config",0,0,325,328,"A",2026-05-26T14:53:02Z,0x20000008,0x000D00000001BF1A
"C:\Users\RT\ai-stack\.git\description",0,0,73,80,"A",2026-05-24T15:44:48Z,0x20000008,0x000B000000090BDC
"C:\Users\RT\ai-stack\.git\HEAD",0,0,21,24,"A",2026-05-26T14:17:46Z,0x20000008,0x000E00000006E10F
"C:\Users\RT\ai-stack\.git\hooks",14,0,26788,47112,"",2026-05-24T15:44:48Z,0x20000004,0x0009000000090BFB
"C:\Users\RT\ai-stack\.git\hooks\applypatch-msg.sample",0,0,478,480,"A",2026-05-24T15:44:48Z,0x20000008,0x0016000000090BFC
"C:\Users\RT\ai-stack\.git\hooks\commit-msg.sample",0,0,1972,4096,"A",2026-05-24T15:44:48Z,0x20000008,0x0009000000090BFE
"C:\Users\RT\ai-stack\.git\hooks\fsmonitor-watchman.sample",0,0,4611,8192,"A",2026-05-24T15:44:48Z,0x20000008,0x0009000000090BFF
"C:\Users\RT\ai-stack\.git\hooks\post-update.sample",0,0,189,192,"A",2026-05-24T15:44:48Z,0x20000008,0x0009000000090C00
"C:\Users\RT\ai-stack\.git\hooks\pre-applypatch.sample",0,0,424,424,"A",2026-05-24T15:44:48Z,0x20000008,0x0005000000090C1D
"C:\Users\RT\ai-stack\.git\hooks\pre-commit.sample",0,0,1649,4096,"A",2026-05-24T15:44:48Z,0x20000008,0x0009000000090C5F
"C:\Users\RT\ai-stack\.git\hooks\pre-merge-commit.sample",0,0,416,416,"A",2026-05-24T15:44:48Z,0x20000008,0x000C000000090C60
"C:\Users\RT\ai-stack\.git\hooks\pre-push.sample",0,0,1374,4096,"A",2026-05-24T15:44:48Z,0x20000008,0x000A000000090C62
"C:\Users\RT\ai-stack\.git\hooks\pre-rebase.sample",0,0,4898,8192,"A",2026-05-24T15:44:48Z,0x20000008,0x000A000000090C63
"C:\Users\RT\ai-stack\.git\hooks\pre-receive.sample",0,0,544,544,"A",2026-05-24T15:44:48Z,0x20000008,0x0008000000090C65
"C:\Users\RT\ai-stack\.git\hooks\prepare-commit-msg.sample",0,0,1492,4096,"A",2026-05-24T15:44:48Z,0x20000008,0x0006000000090C66
"C:\Users\RT\ai-stack\.git\hooks\push-to-checkout.sample",0,0,2783,4096,"A",2026-05-24T15:44:48Z,0x20000008,0x0008000000090C67
"C:\Users\RT\ai-stack\.git\hooks\sendemail-validate.sample",0,0,2308,4096,"A",2026-05-24T15:44:48Z,0x20000008,0x0009000000090C9B
"C:\Users\RT\ai-stack\.git\hooks\update.sample",0,0,3650,4096,"A",2026-05-24T15:44:48Z,0x20000008,0x0015000000090CB9
"C:\Users\RT\ai-stack\.git\index",0,0,5438,8192,"A",2026-05-31T01:13:42Z,0x20000008,0x002900000001C5B9
"C:\Users\RT\ai-stack\.git\info",1,0,240,240,"",2026-05-24T15:44:48Z,0x20000004,0x0007000000090CBB
"C:\Users\RT\ai-stack\.git\info\exclude",0,0,240,240,"A",2026-05-24T15:44:48Z,0x20000008,0x0012000000090CC5
"C:\Users\RT\ai-stack\.git\logs",3,4,6009,12288,"",2026-05-31T01:19:47Z,0x20000004,0x000800000001BE83
"C:\Users\RT\ai-stack\.git\logs\HEAD",0,0,2119,4096,"A",2026-05-31T01:13:42Z,0x20000008,0x000800000001BE84
"C:\Users\RT\ai-stack\.git\logs\refs",2,3,3890,8192,"",2026-05-31T01:19:47Z,0x20000004,0x000700000001BE85
"C:\Users\RT\ai-stack\.git\logs\refs\heads",1,0,2119,4096,"",2026-05-31T01:13:42Z,0x20000004,0x000800000001BE8C
"C:\Users\RT\ai-stack\.git\logs\refs\heads\main",0,0,2119,4096,"A",2026-05-31T01:13:42Z,0x20000008,0x000B00000001BE8F
"C:\Users\RT\ai-stack\.git\logs\refs\remotes",1,1,1771,4096,"",2026-05-31T01:19:47Z,0x20000004,0x00080000000496FB
"C:\Users\RT\ai-stack\.git\logs\refs\remotes\origin",1,0,1771,4096,"",2026-05-31T01:19:47Z,0x20000004,0x007200000004971B
"C:\Users\RT\ai-stack\.git\logs\refs\remotes\origin\main",0,0,1771,4096,"A",2026-05-31T01:19:47Z,0x20000008,0x000F000000049764
"C:\Users\RT\ai-stack\.git\objects",106,92,36398324,36475536,"",2026-05-31T01:13:42Z,0x20000004,0x000600000009140D
"C:\Users\RT\ai-stack\.git\objects\00",1,0,54,56,"",2026-05-28T14:26:32Z,0x20000004,0x000200000007440F
"C:\Users\RT\ai-stack\.git\objects\00\bfd64c32c798460014249c0529af85d6b7c7f9",0,0,54,56,"RA",2026-05-28T14:26:32Z,0x20000008,0x0002000000074415
"C:\Users\RT\ai-stack\.git\objects\06",3,0,548,560,"",2026-05-29T13:14:21Z,0x20000004,0x0027000000074750
"C:\Users\RT\ai-stack\.git\objects\06\42004b0c15d2005e44127cb62e17bb43c42f0d",0,0,122,128,"RA",2026-05-26T14:29:02Z,0x20000008,0x0027000000074751
"C:\Users\RT\ai-stack\.git\objects\06\82a9ccf2c9cd1855a0bff9a4861b4cfe1e1cd1",0,0,124,128,"RA",2026-05-29T13:14:21Z,0x20000008,0x002C00000006E06F
"C:\Users\RT\ai-stack\.git\objects\06\c6093fe0c6cdcc1d90eaf6438319ddec276e5c",0,0,302,304,"RA",2026-05-26T16:49:25Z,0x20000008,0x000B000000070B1C
"C:\Users\RT\ai-stack\.git\objects\08",2,0,3007769,3010864,"",2026-05-31T01:13:42Z,0x20000004,0x001C0000000A8210
"C:\Users\RT\ai-stack\.git\objects\08\58fbda9838ea5f3ab02ef17adac1d3120dc3ae",0,0,3007466,3010560,"RA",2026-05-26T00:35:54Z,0x20000008,0x00120000000A8211
"C:\Users\RT\ai-stack\.git\objects\08\a9196d6f52a6d3fd9970c5d527e6027490e124",0,0,303,304,"RA",2026-05-31T01:13:42Z,0x20000008,0x005600000001CFE7
"C:\Users\RT\ai-stack\.git\objects\09",1,0,338586,339968,"",2026-05-24T18:30:46Z,0x20000004,0x000A0000000A81FF
"C:\Users\RT\ai-stack\.git\objects\09\2f1d5a59cd8a45cedf3e1ad357b5724e1b5226",0,0,338586,339968,"RA",2026-05-24T18:30:46Z,0x20000008,0x00070000000A8200
"C:\Users\RT\ai-stack\.git\objects\0c",1,0,3020522,3022848,"",2026-05-26T00:35:54Z,0x20000004,0x000A0000000A8214
"C:\Users\RT\ai-stack\.git\objects\0c\c0bb674ab6a921e5d9202e52d9232c490a56c5",0,0,3020522,3022848,"RA",2026-05-26T00:35:54Z,0x20000008,0x000A0000000A8217
"C:\Users\RT\ai-stack\.git\objects\18",1,0,303,304,"",2026-05-29T13:14:21Z,0x20000004,0x003C00000006E072
"C:\Users\RT\ai-stack\.git\objects\18\05779f1ad4ede8459e537eb6022491875f1e7a",0,0,303,304,"RA",2026-05-29T13:14:21Z,0x20000008,0x003C00000006E075
"C:\Users\RT\ai-stack\.git\objects\19",1,0,2330443,2330624,"",2026-05-24T18:30:46Z,0x20000004,0x00090000000A8205
"C:\Users\RT\ai-stack\.git\objects\19\16eeeaa438eeace2745a941bacc6e90a4c238c",0,0,2330443,2330624,"RA",2026-05-24T18:30:46Z,0x20000008,0x00090000000A8206
"C:\Users\RT\ai-stack\.git\objects\1c",1,0,72,72,"",2026-05-28T16:56:51Z,0x20000004,0x000A000000093F70
"C:\Users\RT\ai-stack\.git\objects\1c\73afaf7c6e08ee004e17d2abd0c17208ea43f3",0,0,72,72,"RA",2026-05-28T16:56:51Z,0x20000008,0x0004000000093F78
"C:\Users\RT\ai-stack\.git\objects\1e",1,0,141,144,"",2026-05-26T14:29:02Z,0x20000004,0x003C0000000746C7
"C:\Users\RT\ai-stack\.git\objects\1e\030ac8040acd67e6a60e27c61716622e759ece",0,0,141,144,"RA",2026-05-26T14:29:02Z,0x20000008,0x00330000000746C8
"C:\Users\RT\ai-stack\.git\objects\22",1,0,54,56,"",2026-05-28T02:07:58Z,0x20000004,0x00010000000A8FED
"C:\Users\RT\ai-stack\.git\objects\22\a5cf75f9aaa1154dca899f7d94d9ee351a9b2c",0,0,54,56,"RA",2026-05-28T02:07:58Z,0x20000008,0x00010000000A8FEE
"C:\Users\RT\ai-stack\.git\objects\23",1,0,184,184,"",2026-05-26T16:49:25Z,0x20000004,0x0029000000019232
"C:\Users\RT\ai-stack\.git\objects\23\ccf8718c4c8ddbebb806a7a42984d7e1299d30",0,0,184,184,"RA",2026-05-26T16:49:25Z,0x20000008,0x0016000000070B24
"C:\Users\RT\ai-stack\.git\objects\24",1,0,2994125,2994176,"",2026-05-26T00:35:54Z,0x20000004,0x000A0000000A820C
